orth,phon,type,set
stit,/stit/,ANC_REG,1
thax,/T@ks/,ANC_REG,1
kleef,/klEf/,ANC_REG,1
krim,/krim/,ANC_REG,1
nisp,/nisp/,ANC_REG,1
plig,/plig/,ANC_REG,1
preld,/preld/,ANC_REG,1
scark,/skark/,ANC_REG,1
shing,/SiN/,ANC_REG,1
slape,/slAp/,ANC_REG,1
dit,/dit/,ANC_REG,2
chax,/C@ks/,ANC_REG,2
pleef,/plEf/,ANC_REG,2
plim,/plim/,ANC_REG,2
fisp,/fisp/,ANC_REG,2
drig,/drig/,ANC_REG,2
steld,/steld/,ANC_REG,2
plark,/plark/,ANC_REG,2
hing,/hiN/,ANC_REG,2
glape,/glAp/,ANC_REG,2
yit,/yit/,ANC_REG,3
brax,/br@ks/,ANC_REG,3
smeef,/smEf/,ANC_REG,3
drim,/drim/,ANC_REG,3
chisp,/Cisp/,ANC_REG,3
slig,/slig/,ANC_REG,3
freld,/freld/,ANC_REG,3
flark,/flark/,ANC_REG,3
fing,/fiN/,ANC_REG,3
flape,/flAp/,ANC_REG,3
strot,/strOt/,ANC_EXC,1
grell,/grEl/,ANC_EXC,1
wrill,/rIl/,ANC_EXC,1
dest,/dEst/,ANC_EXC,1
drace,/dro/,ANC_EXC,1
fank,/fank/,ANC_EXC,1
geam,/jem/,ANC_EXC,1
kipe,/kip/,ANC_EXC,1
nust,/nUst/,ANC_EXC,1
suff,/sUf/,ANC_EXC,1
frot,/frOt/,ANC_EXC,2
drell,/drEl/,ANC_EXC,2
prill,/prIl/,ANC_EXC,2
clest,/klEst/,ANC_EXC,2
frace,/fro/,ANC_EXC,2
splank,/splank/,ANC_EXC,2
cheam,/Cem/,ANC_EXC,2
fipe,/fip/,ANC_EXC,2
blust,/blUst/,ANC_EXC,2
chuff,/CUf/,ANC_EXC,2
shrot,/SrOt/,ANC_EXC,3
prell,/prEl/,ANC_EXC,3
brill,/brIl/,ANC_EXC,3
glest,/glEst/,ANC_EXC,3
prace,/pro/,ANC_EXC,3
vank,/vank/,ANC_EXC,3
tream,/trem/,ANC_EXC,3
smipe,/smip/,ANC_EXC,3
vust,/vUst/,ANC_EXC,3
vuff,/vUf/,ANC_EXC,3
tive,/tIv/,ANC_AMB,1
blome,/blOm/,ANC_AMB,1
clead,/kled/,ANC_AMB,1
frow,/frW/,ANC_AMB,1
grour,/grWr/,ANC_AMB,1
plone,/plan/,ANC_AMB,1
slood,/sl^d/,ANC_AMB,1
kive,/kIv/,ANC_AMB,2
clome,/klOm/,ANC_AMB,2
smead,/smed/,ANC_AMB,2
clow,/klW/,ANC_AMB,2
grour,/grWr/,ANC_AMB,2
glone,/glan/,ANC_AMB,2
lood,/l^d/,ANC_AMB,2
bive,/bIv/,ANC_AMB,3
flome,/flOm/,ANC_AMB,3
pread,/pred/,ANC_AMB,3
trow,/trW/,ANC_AMB,3
frour,/grWr/,ANC_AMB,3
chone,/Can/,ANC_AMB,3
frood,/fr^d/,ANC_AMB,3