orth,phon,type
dare,/dAr/,Regular Inconsistent
moth,/moT/,Regular Inconsistent
speak,/spEk/,Regular Inconsistent
moose,/mUs/,Regular Inconsistent
home,/hOm/,Regular Inconsistent
go,/gO/,Regular Inconsistent
goes,/gOz/,Regular Inconsistent
bone,/bOn/,Regular Inconsistent
root,/rUt/,Regular Inconsistent
five,/fIv/,Regular Inconsistent
meat,/mEt/,Regular Inconsistent
rave,/rAv/,Regular Inconsistent
cove,/kOv/,Regular Inconsistent
gull,/g^l/,Regular Inconsistent
but,/b^t/,Regular Inconsistent
paid,/pAd/,Regular Inconsistent
days,/dAz/,Regular Inconsistent
small,/smol/,Regular Inconsistent
plant,/pl@nt/,Regular Inconsistent
catch,/k@C/,Regular Inconsistent
here,/hEr/,Regular Inconsistent
flat,/fl@t/,Regular Inconsistent
cord,/kOrd/,Regular Inconsistent
pork,/pOrk/,Regular Inconsistent
fowl,/fWl/,Regular Inconsistent
toad,/tOd/,Regular Inconsistent
mush,/m^S/,Regular Inconsistent
leaf,/lEf/,Regular Inconsistent
roll,/rOl/,Regular Inconsistent
brood,/brUd/,Regular Inconsistent
loss,/los/,Regular Inconsistent
pose,/pOz/,Regular Inconsistent
dear,/dEr/,Regular Inconsistent
base,/bAs/,Regular Inconsistent
tint,/tint/,Regular Inconsistent
grow,/grO/,Regular Inconsistent
mouse,/mWs/,Regular Inconsistent
flew,/flU/,Regular Inconsistent
hoe,/hO/,Regular Inconsistent
cook,/kuk/,Regular Inconsistent
cramp,/kr@mp/,Regular Inconsistent
harm,/harm/,Regular Inconsistent
pouch,/pWC/,Regular Inconsistent
mad,/m@d/,Regular Inconsistent
sand,/s@nd/,Regular Inconsistent
lash,/l@S/,Regular Inconsistent
cool,/kUl/,Regular Inconsistent
form,/fOrm/,Regular Inconsistent
are,/ar/,Exception
both,/bOT/,Exception
break,/brAk/,Exception
choose,/CUz/,Exception
come,/k^m/,Exception
do,/dU/,Exception
does,/d^z/,Exception
done,/d^n/,Exception
foot,/fut/,Exception
give,/giv/,Exception
great,/grAt/,Exception
have,/h@v/,Exception
move,/mUv/,Exception
pull,/pul/,Exception
put,/put/,Exception
said,/sed/,Exception
says,/sez/,Exception
shall,/S@l/,Exception
want,/want/,Exception
watch,/waC/,Exception
were,/wur/,Exception
what,/w^t/,Exception
word,/wurd/,Exception
work,/wurk/,Exception
bowl,/bOl/,Exception
broad,/brod/,Exception
bush,/buS/,Exception
deaf,/def/,Exception
doll,/dal/,Exception
flood,/fl^d/,Exception
gross,/grOs/,Exception
lose,/lUz/,Exception
pear,/pAr/,Exception
phase,/fAz/,Exception
pint,/pInt/,Exception
plow,/plW/,Exception
rouse,/rWz/,Exception
sew,/sO/,Exception
shoe,/SU/,Exception
spook,/spUk/,Exception
swamp,/swamp/,Exception
swarm,/swOrm/,Exception
touch,/t^C/,Exception
wad,/wad/,Exception
wand,/wand/,Exception
wash,/woS/,Exception
wool,/wul/,Exception
worm,/wurm/,Exception
lare,/lAr/,Nonword
foth,/foT/,Nonword
deak,/dEk/,Nonword
boose,/bUs/,Nonword
pome,/pOm/,Nonword
mo,/mO/,Nonword
poes,/pOz/,Nonword
rone,/rOn/,Nonword
poot,/pUt/,Nonword
mive,/mIv/,Nonword
reat,/rEt/,Nonword
mave,/mAv/,Nonword
bove,/bOv/,Nonword
rull,/r^l/,Nonword
sut,/s^t/,Nonword
haid,/hAd/,Nonword
tays,/tAz/,Nonword
nall,/nol/,Nonword
bant,/b@nt/,Nonword
natch,/n@C/,Nonword
lere,/lEr/,Nonword
dat,/d@t/,Nonword
tord,/tOrd/,Nonword
bork,/bOrk/,Nonword
nowl,/nWl/,Nonword
boad,/bOd/,Nonword
fush,/f^S/,Nonword
meaf,/mEf/,Nonword
foll,/fOl/,Nonword
bood,/bUd/,Nonword
tross,/tros/,Nonword
mose,/mOz/,Nonword
lear,/lEr/,Nonword
dase,/dAs/,Nonword
phint,/fint/,Nonword
clow,/klO/,Nonword
nouse,/nWs/,Nonword
tew,/tU/,Nonword
choe,/CO/,Nonword
stook,/stuk/,Nonword
dramp,/dr@mp/,Nonword
starm,/starm/,Nonword
mouch,/mWC/,Nonword
nad,/n@d/,Nonword
mand,/m@nd/,Nonword
tash,/t@S/,Nonword
bool,/bUl/,Nonword
porm,/pOrm/,Nonword